"Entity DCID","Entity properties isoCode","Entity properties name","Variable DCID","Variable observation date","Variable observation metadata importName","Variable observation metadata provenanceUrl","Variable observation metadata scalingFactor","Variable observation metadata unit","Variable observation metadata unitDisplayName","Variable observation value","Variable properties name"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1984","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",5283.5794409944,"Nominal GDP Per Capita"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1985","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",5509.8746029115,"Nominal GDP Per Capita"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1986","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",6031.3586077938,"Nominal GDP Per Capita"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1987","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",6624.5993950581,"Nominal GDP Per Capita"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1988","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",7032.6537081142,"Nominal GDP Per Capita"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1989","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",7772.5502280336,"Nominal GDP Per Capita"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1990","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",7781.4057330612,"Nominal GDP Per Capita"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1991","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",7790.2622943916,"Nominal GDP Per Capita"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1992","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",7519.201435449,"Nominal GDP Per Capita"
"country/BRB","BB","Barbados","Amount_EconomicActivity_GrossDomesticProduction_Nominal_PerCapita","1993","WorldDevelopmentIndicators","https://datacatalog.worldbank.org/dataset/world-development-indicators/","","USDollar","USD",7904.7076242639,"Nominal GDP Per Capita"
